
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                   14700 Console                    1     10,848 K
msedge.exe                    4048 Console                    1     90,360 K
msedge.exe                    8836 Console                    1     10,444 K
msedge.exe                   13048 Console                    1     57,868 K
msedge.exe                    9556 Console                    1     28,492 K
msedge.exe                    1816 Console                    1     18,708 K
opera.exe                    15868 Console                    1      9,436 K
svchost.exe                  12908 Services                   0     16,124 K
msedge.exe                   11372 Console                    1     49,208 K
WhatsApp.Root.exe            16176 Console                    1     67,376 K
RuntimeBroker.exe            16072 Console                    1     10,752 K
msedgewebview2.exe            7384 Console                    1     58,720 K
msedgewebview2.exe           10104 Console                    1     10,488 K
msedgewebview2.exe            1416 Console                    1     24,020 K
msedgewebview2.exe            4328 Console                    1     14,172 K
msedgewebview2.exe            8332 Console                    1      6,568 K
msedgewebview2.exe            9140 Console                    1     78,588 K
WSHelper.exe                 12920 Console                    1     16,392 K
CCXProcess.exe               16288 Console                    1      3,000 K
node.exe                      5504 Console                    1     32,052 K
conhost.exe                  14628 Console                    1      6,340 K
svchost.exe                   2528 Services                   0     13,760 K
svchost.exe                   8500 Services                   0      5,948 K
AdobeIPCBroker.exe            7760 Console                    1     11,028 K
Creative Cloud.exe           16524 Console                    1     26,016 K
Creative Cloud UI Helper.    16988 Console                    1     17,032 K
Creative Cloud UI Helper.    17036 Console                    1     17,672 K
Creative Cloud UI Helper.    17048 Console                    1     19,564 K
Creative Cloud UI Helper.     9488 Console                    1     13,560 K
Adobe Desktop Service.exe     2508 Console                    1     44,204 K
Adobe Crash Processor.exe    17256 Console                    1      9,544 K
Creative Cloud Helper.exe    16764 Console                    1     11,180 K
CoreSync.exe                 17808 Console                    1     12,740 K
Creative Cloud UI Helper.    18392 Console                    1     22,292 K
dllhost.exe                   9984 Console                    1     14,396 K
mscopilot_proxy.exe           6388 Console                    1     12,756 K
dllhost.exe                  18080 Console                    1     14,388 K
svchost.exe                   4508 Services                   0      7,548 K
chrome.exe                    8284 Console                    1     42,808 K
chrome.exe                   18076 Console                    1     50,756 K
AvastUI.exe                  17924 Console                    1     20,648 K
AvastUI.exe                   8356 Console                    1     15,572 K
SystemSettings.exe           17288 Console                    1      1,640 K
ApplicationFrameHost.exe      1412 Console                    1      9,320 K
AvastUI.exe                  10548 Console                    1      7,120 K
chrome.exe                   17432 Console                    1    318,000 K
SnippingTool.exe              2692 Console                    1     49,520 K
SnippingTool.exe              5944 Console                    1     21,116 K
DataExchangeHost.exe          9144 Console                    1     15,968 K
Photos.exe                   10820 Console                    1     57,420 K
Photos.exe                   17960 Console                    1     30,464 K
dllhost.exe                  16996 Console                    1      9,096 K
chrome.exe                   17948 Console                    1     19,772 K
dllhost.exe                   9176 Console                    1      7,088 K
msedge.exe                   19444 Console                    1      7,492 K
msedge.exe                   18916 Console                    1      7,532 K
msedge.exe                   18692 Console                    1     21,152 K
msedge.exe                   15188 Console                    1     18,040 K
msedge.exe                   19156 Console                    1     13,612 K
RuntimeBroker.exe            10204 Console                    1     11,664 K
svchost.exe                  15056 Services                   0      6,996 K
Code.exe                      8540 Console                    1    105,032 K
